letter	frequency
MTHFD2	1.035
MTHFD2L_1	1.004
MTHFD2L_2	1.167
TCF4	0.856
ID2	1.031
ALDH1B1	0.912  	
ALDH2	0.950
MTHFD1L	1.056
MTHFD1	1.084
