GeneSymbol_one,KEGG_PATHWAY,MAJOR_PATHWAY,PATHWAY,Number,Number2,Type
ALDH1B1,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,162.5397333,1,cDC_CD8Neg
ALDH2,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,192.3264667,1,cDC_CD8Neg
TCF4,,,,311.7425333,1,cDC_CD8Neg
ID2,Signal transduction,Environmental Information Processing,TGF_BETA_SIGNALING_PATHWAY,1495.030433,1,cDC_CD8Neg
MTHFD1L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,207.2428,1,cDC_CD8Neg
MTHFD1,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,220.2512667,1,cDC_CD8Neg
MTHFD2L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,66.93313333,0.93426661,pDC_CD8Neg
MTHFD2,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,145.0854,0.613777411,pDC_CD8Neg
MTHFD2L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,14.44043333,0.847017442,pDC_CD8Neg
ALDH1B1,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,302.5138667,1.861168715,pDC_CD8Neg
ALDH2,Carbohydrate metabolism,Metabolism,GLYCOLYSIS_GLUCONEOGENESIS,1059.000767,5.506266428,pDC_CD8Neg
TCF4,,,,4235.9967,13.58812561,pDC_CD8Neg
ID2,Signal transduction,Environmental Information Processing,TGF_BETA_SIGNALING_PATHWAY,81.45453333,0.054483529,pDC_CD8Neg
MTHFD1L,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,169.3541,0.817177243,pDC_CD8Neg
MTHFD1,Carbohydrate metabolism,Metabolism,GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,143.6969333,0.652422733,pDC_CD8Neg
